circuit_key,circuit_short_name,country_code,country_key,country_name,date_end,date_start,gmt_offset,location,meeting_key,session_key,session_name,session_type,year
63,Sakhir,BRN,36,Bahrain,2023-02-23 16:30:00,2023-02-23 07:00:00,03:00:00,Sakhir,1140,9222,Practice 1,Practice,2023
63,Sakhir,BRN,36,Bahrain,2023-02-24 16:30:00,2023-02-24 07:00:00,03:00:00,Sakhir,1140,7763,Practice 2,Practice,2023
63,Sakhir,BRN,36,Bahrain,2023-02-25 16:30:00,2023-02-25 07:00:00,03:00:00,Sakhir,1140,7764,Practice 3,Practice,2023
63,Sakhir,BRN,36,Bahrain,2023-03-03 12:30:00,2023-03-03 11:30:00,03:00:00,Sakhir,1141,7765,Practice 1,Practice,2023
63,Sakhir,BRN,36,Bahrain,2023-03-03 16:00:00,2023-03-03 15:00:00,03:00:00,Sakhir,1141,7766,Practice 2,Practice,2023
63,Sakhir,BRN,36,Bahrain,2023-03-04 12:30:00,2023-03-04 11:30:00,03:00:00,Sakhir,1141,7767,Practice 3,Practice,2023
63,Sakhir,BRN,36,Bahrain,2023-03-04 16:00:00,2023-03-04 15:00:00,03:00:00,Sakhir,1141,7768,Qualifying,Qualifying,2023
63,Sakhir,BRN,36,Bahrain,2023-03-05 17:00:00,2023-03-05 15:00:00,03:00:00,Sakhir,1141,7953,Race,Race,2023
149,Jeddah,KSA,153,Saudi Arabia,2023-03-17 14:30:00,2023-03-17 13:30:00,03:00:00,Jeddah,1142,7772,Practice 1,Practice,2023
149,Jeddah,KSA,153,Saudi Arabia,2023-03-17 18:00:00,2023-03-17 17:00:00,03:00:00,Jeddah,1142,7773,Practice 2,Practice,2023
149,Jeddah,KSA,153,Saudi Arabia,2023-03-18 14:30:00,2023-03-18 13:30:00,03:00:00,Jeddah,1142,7774,Practice 3,Practice,2023
149,Jeddah,KSA,153,Saudi Arabia,2023-03-18 18:00:00,2023-03-18 17:00:00,03:00:00,Jeddah,1142,7775,Qualifying,Qualifying,2023
149,Jeddah,KSA,153,Saudi Arabia,2023-03-19 19:00:00,2023-03-19 17:00:00,03:00:00,Jeddah,1142,7779,Race,Race,2023
10,Melbourne,AUS,5,Australia,2023-03-31 02:30:00,2023-03-31 01:30:00,11:00:00,Melbourne,1143,7780,Practice 1,Practice,2023
10,Melbourne,AUS,5,Australia,2023-03-31 06:00:00,2023-03-31 05:00:00,11:00:00,Melbourne,1143,7781,Practice 2,Practice,2023
10,Melbourne,AUS,5,Australia,2023-04-01 02:30:00,2023-04-01 01:30:00,11:00:00,Melbourne,1143,7782,Practice 3,Practice,2023
10,Melbourne,AUS,5,Australia,2023-04-01 06:00:00,2023-04-01 05:00:00,11:00:00,Melbourne,1143,7783,Qualifying,Qualifying,2023
10,Melbourne,AUS,5,Australia,2023-04-02 07:00:00,2023-04-02 05:00:00,10:00:00,Melbourne,1143,7787,Race,Race,2023
144,Baku,AZE,30,Azerbaijan,2023-04-28 10:30:00,2023-04-28 09:30:00,04:00:00,Baku,1207,9063,Practice 1,Practice,2023
144,Baku,AZE,30,Azerbaijan,2023-04-28 14:00:00,2023-04-28 13:00:00,04:00:00,Baku,1207,9064,Qualifying,Qualifying,2023
144,Baku,AZE,30,Azerbaijan,2023-04-29 09:14:00,2023-04-29 08:30:00,04:00:00,Baku,1207,9278,Sprint Shootout,Qualifying,2023
144,Baku,AZE,30,Azerbaijan,2023-04-29 14:00:00,2023-04-29 13:30:00,04:00:00,Baku,1207,9069,Sprint,Race,2023
144,Baku,AZE,30,Azerbaijan,2023-04-30 13:00:00,2023-04-30 11:00:00,04:00:00,Baku,1207,9070,Race,Race,2023
151,Miami,USA,19,United States,2023-05-05 19:00:00,2023-05-05 18:00:00,-04:00:00,Miami,1208,9071,Practice 1,Practice,2023
151,Miami,USA,19,United States,2023-05-05 22:30:00,2023-05-05 21:30:00,-04:00:00,Miami,1208,9072,Practice 2,Practice,2023
151,Miami,USA,19,United States,2023-05-06 17:30:00,2023-05-06 16:30:00,-04:00:00,Miami,1208,9073,Practice 3,Practice,2023
151,Miami,USA,19,United States,2023-05-06 21:00:00,2023-05-06 20:00:00,-04:00:00,Miami,1208,9074,Qualifying,Qualifying,2023
151,Miami,USA,19,United States,2023-05-07 21:30:00,2023-05-07 19:30:00,-04:00:00,Miami,1208,9078,Race,Race,2023
22,Monte Carlo,MON,114,Monaco,2023-05-26 12:30:00,2023-05-26 11:30:00,02:00:00,Monaco,1210,9087,Practice 1,Practice,2023
22,Monte Carlo,MON,114,Monaco,2023-05-26 16:00:00,2023-05-26 15:00:00,02:00:00,Monaco,1210,9088,Practice 2,Practice,2023
22,Monte Carlo,MON,114,Monaco,2023-05-27 11:30:00,2023-05-27 10:30:00,02:00:00,Monaco,1210,9089,Practice 3,Practice,2023
22,Monte Carlo,MON,114,Monaco,2023-05-27 15:00:00,2023-05-27 14:00:00,02:00:00,Monaco,1210,9090,Qualifying,Qualifying,2023
